book_name,author,score
追风筝的人"",[美] 卡勒德·胡赛尼 ,8.9
解忧杂货店"",[日] 东野圭吾 ,8.5
小王子"",[法] 圣埃克苏佩里 ,9
白夜行"",[日] 东野圭吾 ,9.1
活着"",余华 ,9.4
嫌疑人X的献身"",[日] 东野圭吾 ,8.9
三体"",刘慈欣 ,8.8
围城"",钱锺书 ,8.9
挪威的森林"",[日] 村上春树 ,8
红楼梦"",[清] 曹雪芹 著 ,9.6
百年孤独"",[哥伦比亚] 加西亚·马尔克斯 ,9.2
看见"",柴静 ,8.8
平凡的世界（全三部）"",路遥 ,9
三体Ⅱ"",刘慈欣 ,9.3
三体Ⅲ"",刘慈欣 ,9.2
我们仨"",杨绛 ,8.7
不能承受的生命之轻"",[捷克] 米兰·昆德拉 ,8.5
达·芬奇密码"",[美] 丹·布朗 ,8.2
天才在左 疯子在右"",高铭 ,8.1
明朝那些事儿（壹）"",当年明月 ,8.7
撒哈拉的故事"",三毛 ,9
哈利·波特与魔法石"",[英] J. K. 罗琳 ,9.1
简爱（英文全本）"",[英] 夏洛蒂·勃朗特 ,8.5
傲慢与偏见"",[英] 奥斯丁 ,8.8
许三观卖血记"",余华 ,8.7
恶意"",[日] 东野圭吾 ,8.4
目送"",龙应台 ,8.6
边城"",沈从文 ,8.6
人间失格"",太宰治 ,8.3
霍乱时期的爱情"",[哥伦比亚] 加西亚·马尔克斯 ,9
飘"",[美国] 玛格丽特·米切尔 ,9.3
盗墓笔记"",南派三叔 ,8.3
倾城之恋"",花城出版社 ,8.5
窗边的小豆豆"",[日] 黑柳彻子 著 ,8.7
哈利·波特与阿兹卡班的囚徒"",[英] J. K. 罗琳 ,9
狼图腾"",姜戎 ,8.2
老人与海"",海明威 ,8.4
房思琪的初恋乐园"",林奕含 ,9.2
哈利·波特与火焰杯"",[英] J. K. 罗琳 ,9
万历十五年"",[美] 黄仁宇 ,8.9
哈利·波特与密室"",[英] J. K. 罗琳 ,8.9
穆斯林的葬礼"",霍达 ,8.1
鲁滨逊漂流记"",[英] 笛福 ,8.1
1984"",[英] 乔治·奥威尔 ,9.3
送你一颗子弹"",刘瑜 ,8.6
情人"",[法] 玛格丽特·杜拉斯 ,8.1
骆驼祥子"",老舍 ,8.4
人类简史"",[以色列] 尤瓦尔·赫拉利 ,9.1
黄金时代"",王小波 ,8.8
三国演义（全二册）"",[明] 罗贯中 ,9.2
月亮与六便士"",[英] 威廉·萨默塞特·毛姆 ,8.8
哈利·波特与混血王子"",[英] J. K. 罗琳 ,8.8
牧羊少年奇幻之旅"",[巴西]保罗·柯艾略 ,8.6
哈利·波特与凤凰社"",[英] J. K. 罗琳 ,8.7
1Q84 BOOK 1"",[日] 村上春树 ,8.3
悟空传"",今何在 ,8.3
哈利·波特与死亡圣器"",[英] J. K. 罗琳 ,9
局外人"",[法] 阿尔贝·加缪 ,9
苏菲的世界"",（挪威）乔斯坦·贾德 ,8.5
向左走·向右走"",幾米 ,8.4
白鹿原"",陈忠实 ,8.7
无声告白"",[美] 伍绮诗 ,8.2
天龙八部"",金庸 ,9.1
茶花女"",小仲马 ,8.2
基督山伯爵"",大仲马 ,9
呼啸山庄"",（英）勃朗特 ,8.4
了不起的盖茨比"",菲茨杰拉德 ,8.4
亲爱的安德烈"",龙应台 ,8.6
一个陌生女人的来信"",[奥] 斯台芬·茨威格 ,8.7
沉默的大多数"",王小波 ,9.1
灿烂千阳"",[美] 卡勒德·胡赛尼 ,8.8
福尔摩斯探案全集（上中下）"",[英] 阿·柯南道尔 ,9.2
无人生还"",[英] 阿加莎・克里斯蒂 ,8.9
东方快车谋杀案"",[英] 阿加莎·克里斯蒂 ,9
莲花"",安妮宝贝 ,8
笑傲江湖（全四册）"",金庸 ,9
海边的卡夫卡"",[日] 村上春树 ,8.1
巴黎圣母院"",[法]雨果 ,8.4
兄弟（上）"",余华 ,8.3
我不喜欢这世界，我只喜欢你"",乔一 ,8
情书"",[日] 岩井俊二 ,8.6
呐喊"",鲁迅 ,8.9
城南旧事"",林海音 文 ,9
羊脂球"",（法）莫泊桑 ,8.1
肖申克的救赎"",[美] 斯蒂芬·金 ,9.1
乌合之众"",（法）勒庞 ,8.2
动物农场"",[英] 乔治·奥威尔 ,9.2
少有人走的路"",[美] M·斯科特·派克 ,8.4
安徒生童话故事集"",（丹麦）安徒生 ,9.2
神雕侠侣"",金庸 ,8.9
爱你就像爱生命"",王小波 ,8.8
红玫瑰与白玫瑰"",张爱玲 ,8.4
当我谈跑步时我谈些什么"",[日] 村上春树 ,8.2
朝花夕拾"",鲁迅 ,8.7
阿Q正传"",鲁迅 著 ,8.7
民主的细节"",刘瑜 ,8.6
遇见未知的自己"",张德芬 ,8
鬼吹灯之精绝古城"",天下霸唱 ,8.1
梦里花落知多少"",三毛 ,8.8
海底两万里"",[法国] 儒尔·凡尔纳 ,8.5
巨人的陨落"",[英] 肯·福莱特 ,8.9
半生缘"",张爱玲 ,8.6
华胥引（全二册）"",唐七公子 ,8.4
一只特立独行的猪"",王小波 ,8.8
格林童话全集"",[德国]格林兄弟 ,9
射雕英雄传（全四册）"",金庸 ,9
一个人的朝圣"",[英] 蕾秋·乔伊斯 ,8.1
陪安东尼度过漫长岁月"",安东尼 ,8.3
杀死一只知更鸟"",[美] 哈珀·李 ,9.2
这些都是你给我的爱"",文：安东尼 ,8.3
你今天真好看"",莉兹·克里莫 ,8.6
喜宝"",亦舒 ,8
这些人，那些事"",吴念真 ,8.8
如何阅读一本书"",[美] 莫提默·J. 艾德勒 ,8.4
孩子你慢慢来"",龙应台 ,8.8
麦琪的礼物"",[美] 欧·亨利 ,8.6
流浪地球"",刘慈欣 ,8.6
查令十字街84号"",[美] 海莲·汉芙 ,8.3
雷雨"",曹禺 ,8.6
菊与刀"",（美）鲁思・本尼迪克特 ,8.2
刀锋"",[英]毛姆 ,9
水浒传（全二册）"",[明] 施耐庵 ,8.6
西游记（全二册）"",吴承恩 ,8.9
地下铁"",幾米 ,8.3
步步惊心"",桐华 ,8.1
我与地坛"",史铁生 ,9
最好的我们"",八月长安 ,8.8
狂人日记"",鲁迅 ,8.7
富爸爸，穷爸爸"",（美）罗伯特・T・清崎 ,8.3
球状闪电"",刘慈欣 ,8.7
尘埃落定"",阿来 ,8.4
孤独六讲"",蒋勋 ,8.1
那些回不去的年少时光"",桐华 ,8.4
悲惨世界（上中下）"",[法] 雨果 ,8.9
月亮忘記了"",幾米 ,8.6
此间的少年"",江南 ,8.4
飞鸟集"",[印] 罗宾德拉纳德·泰戈尔 ,8.9
金锁记"",张爱玲 ,8.5
呼兰河传"",萧红 ,8.9
瓦尔登湖"",[美] 梭罗 ,8.4
倚天屠龙记(共四册)"",金庸 ,8.6
夏洛的网"",[美] E.B.怀特 ,8.6
史蒂夫·乔布斯传"",[美] 沃尔特·艾萨克森 ,8.7
荆棘鸟"",[澳] 考琳·麦卡洛 ,8.6
哭泣的骆驼"",三毛 ,8.9
我的天才女友"",[意] 埃莱娜·费兰特 ,8.5
鹿鼎记（全五册）"",金庸 ,8.8
时间简史"",[英] 史蒂芬·霍金 ,8.8
海贼王"",尾田荣一郎 ,9.5
伊豆的舞女"",[日] 川端康成 ,8.2
人生"",路遥 ,8.4
一個人住第5年"",高木直子 ,8.4
红与黑"",[法] 司汤达 ,8.2
寻路中国"",[美] 彼得·海斯勒 ,9
长恨歌"",王安忆 ,8.2
东霓"",笛安 ,8.1
常识"",梁文道 ,8.1
陆犯焉识"",严歌苓 ,8.8
你一定爱读的极简欧洲史"",约翰·赫斯特（John Hirst） ,8.2
中国历代政治得失"",钱穆 ,9.2
时间旅行者的妻子"",[美] 奥德丽·尼芬格 ,8.1
你好，旧时光（上 下）"",八月长安 ,8.7
自控力"",[美]  凯利·麦格尼格尔 ,8.2
失恋33天"",鲍鲸鲸 ,8
罗生门"",[日]芥川龙之介 ,8.7
一九八四·动物农场"",[英] 乔治·奥威尔 ,9.3
变形记"",[奥] 卡夫卡 ,8.4
父与子全集"",[德] 埃·奥·卜劳恩 绘 ,9.2
一千零一夜"",纳训 ,8.6
项链"",[法] 莫泊桑 ,8.4
历史深处的忧虑"",林达 ,9
匆匆那年（上下）"",九夜茴 ,8.2
影响力"",[美] 罗伯特·西奥迪尼 ,8.6
人性的弱点全集"",[美] 戴尔·卡耐基 ,8.2
那些年，我们一起追的女孩"",九把刀 ,8.2
冰与火之歌（卷一）"",[美] 乔治·R. R. 马丁 ,9.3
橙"",安东尼 ,8.2
未来简史"",[以色列] 尤瓦尔·赫拉利 ,8.4
大地之灯"",七堇年 ,8.2
世界尽头与冷酷仙境"",[日] 村上春树 ,8.6
香水"",[德] 帕·聚斯金德 ,8.5
江城"",[美] 彼得·海斯勒 ,9
人间词话"",王国维 ,9
阿狸·梦之城堡"",hans ,9
看不见的城市"",[意大利]伊塔洛·卡尔维诺 ,8.8
新名字的故事"",[意] 埃莱娜·费兰特 ,9
雨季不再来"",三毛 ,8.7
长安十二时辰 上"",马伯庸 ,8.4
把时间当作朋友"",李笑来 ,8.4
面纱"",(英)W.萨默塞特·毛姆 ,8.7
天使与魔鬼"",[美] 丹.布朗 ,8.2
一句顶一万句"",刘震云 ,8.7
尼罗河上的惨案"",[英] 阿加莎·克里斯蒂 ,8.7
ZOO"",[日] 乙一 ,8.6
第一炉香"",张爱玲 ,8.4
七夜雪"",沧月 ,8.4
国境以南 太阳以西"",[日] 村上春树 ,8.3
文学回忆录（全2册）"",木心 讲述 ,9.2
没有色彩的多崎作和他的巡礼之年"",[日] 村上春树 ,8.2
京华烟云"",林语堂 ,8.5
哈姆莱特"",[英] 莎士比亚 ,8.5
往事并不如烟"",章诒和 ,8.6
海子的诗"",海子 ,8.9
万水千山走遍"",三毛 ,8.8
芳华"",严歌苓 ,8.1
蔷薇岛屿"",安妮宝贝 ,8
教父"",[美]马里奥·普佐 ,9
最初的爱情 最后的仪式"",[英] 伊恩·麦克尤恩 ,8
娱乐至死"",[美] 尼尔·波兹曼 ,8.5
雾都孤儿"",[英]狄更斯 ,8.1
我的精神家园"",王小波 ,9.1
激荡三十年（上）"",吴晓波 ,8.8
妻妾成群"",苏童 ,8.2
新参者"",[日] 东野圭吾 ,8.4
生活在别处"",[捷克] 米兰·昆德拉 ,8.4
台北人"",白先勇 ,8.9
斯通纳"",[美] 约翰·威廉斯 ,8.8
九州·缥缈录"",江南 ,8.8
野火集"",龙应台 ,8.8
设计中的设计"",[日] 原研哉 ,8.6
一个叫欧维的男人决定去死"",[瑞典] 弗雷德里克·巴克曼 ,9
心是孤独的猎手"",[美] 卡森·麦卡勒斯 ,8.5
我执"",梁文道 ,8
琅琊榜"",海宴 ,8.5
占星术杀人魔法"",[日] 岛田庄司 ,8.3
佛祖在一号线"",李海鹏 ,8.2
偷书贼"",[澳] 马克斯·苏萨克 ,8
子不语1"",夏达 ,9
乡土中国"",费孝通 ,9.2
舞！舞！舞！"",[日] 村上春树 ,8.3
动物凶猛"",王朔 ,8.3
枪炮、病菌与钢铁"",[美] 贾雷德·戴蒙德 ,8.8
爱的艺术"",[美] 艾·弗洛姆 ,8.8
白银时代"",王小波 ,8.4
红拂夜奔"",王小波 ,8.7
浪潮之巅"",吴军 ,9.1
小姨多鹤"",严歌苓 ,8.6
告白"",湊佳苗 ,8.6
夹边沟记事"",杨显惠 ,9.2
罗杰疑案"",[英] 阿加莎·克里斯蒂 ,8.9
高效能人士的七个习惯（精华版）"",[美] 史蒂芬·柯维 ,8.2
失踪的孩子"",[意] 埃莱娜·费兰特 ,9.1
观念的水位"",刘瑜 ,8.3
云中歌1"",桐华 ,8
巨流河"",齐邦媛 ,8.7
邓小平时代"",[美] 傅高义 ,9.1
非暴力沟通"",[美] 马歇尔·卢森堡 ,8.4
来不及说我爱你"",匪我思存 ,8
中国大历史"",黄仁宇 ,8.3
寻羊冒险记"",[日] 村上春树 ,8.2
